,population,code_commune,lat,long,area,accident_num,length,ACCOTEMENT REVETU HORS CVCB,AMENAGEMENT MIXTES PIETON VELO HORS VOIE VERTE,AUTRE,BANDE CYCLABLE,CHAUSSEE A VOIE CENTRALE BANALISEE,COULOIR BUS+VELO,DOUBLE SENS CYCLABLE BANDE,DOUBLE SENS CYCLABLE NON MATERIALISE,DOUBLE SENS CYCLABLE PISTE,GOULOTTE,PISTE CYCLABLE,VELO RUE,VOIE VERTE
9685,2565,17308,393543,6537852,2276,0.0,8712.621328118197,0.0,109.57756189631858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5567.655028550222,0.0,3035.388737671657
9686,733,87018,546963,6553079,6452,0.0,146.72196643979606,0.0,146.72196643979606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9687,3212,24311,518276,6495777,2563,0.0,1066.4667173742782,0.0,1066.4667173742782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9688,2812,67066,1008492,6826248,2312,1.0,638.88774321501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.88774321501,0.0,0.0
9689,914,88498,972721,6769933,1390,0.0,4366.804516739979,0.0,272.2308964395748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.573620300404
9690,326,52230,857180,6806076,1677,0.0,17.60201286876914,0.0,0.0,17.60201286876914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9691,18327,55545,873369,6896895,3182,0.0,23111.168716764507,0.0,10690.768168458975,89.09766193136574,1954.336998346216,0.0,0.0,0.0,0.0,0.0,0.0,7038.208173401828,0.0,3338.757714626121
9692,1090,68204,1001628,6776498,3070,0.0,7881.927459679429,0.0,4367.148976965369,1711.9248983344762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.853584379584,0.0,0.0
9693,2157,50551,368592,6930313,3442,0.0,15913.723242628845,0.0,3803.0680512825456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12110.6551913463,0.0,0.0
9694,696,76652,575147,6969942,1382,0.0,6620.085748972209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6620.085748972209
